Gene,TiledRegionStart,TiledRegionStop,GeneStart,GeneStop,Mark,RegionStart,RegionStop
8430410A17RIK,-10000,50389,0,22638,Ab2_G0,290,899
8430410A17RIK,-10000,50389,0,22638,Ab6_G0,290,899
8430410A17RIK,-10000,50389,0,22638,Ab7_G0,49710,50389
AATF,-10000,90645,0,90645,Ab4_G0,-3016,-1757
AATF,-10000,90645,0,90645,Ab6_G0,-2616,-1657
ABCG2,-10000,235446,0,95779,Ab4_G0,53637,54456
ABCG2,-10000,235446,0,95779,Ab6_G0,234587,235446
ABCG2,-10000,235446,0,95779,Ab7_G0,53637,54456
ACE,-21624,21298,0,21298,Ab2_G0,12376,13285
ACE,-21624,21298,0,21298,Ab2_G0,6926,7685
ACE,-21624,21298,0,21298,Ab4_G0,11576,13035
ACE,-21624,21298,0,21298,Ab4_G0,-21624,-20865
ACE,-21624,21298,0,21298,Ab4_G0,-274,485
ACE,-21624,21298,0,21298,Ab7_G0,12326,13285
ACO1,-10000,55744,0,55744,Ab2_G0,-244,765
ACO1,-10000,55744,0,55744,Ab2_G0,50506,51115
ACO1,-10000,55744,0,55744,Ab4_G0,-244,515
ACO1,-10000,55744,0,55744,Ab6_G0,-474,765
ACTB,-53614,10000,0,3608,Ab2_G0,-14814,-14035
ACTB,-53614,10000,0,3608,Ab2_G0,-20164,-19195
ACTB,-53614,10000,0,3608,Ab2_G0,-49114,-48455
ACTB,-53614,10000,0,3608,Ab2_G0,-53614,-52605
ACTB,-53614,10000,0,3608,Ab4_G0,-14814,-14035
ACTB,-53614,10000,0,3608,Ab4_G0,-53604,-52655
ACTB,-53614,10000,0,3608,Ab6_G0,-14814,-14035
ACTB,-53614,10000,0,3608,Ab6_G0,-1964,-1355
ACTB,-53614,10000,0,3608,Ab6_G0,-53604,-52405
ACTB,-53614,10000,0,3608,Ab7_G0,-14814,-14035
ACTB,-53614,10000,0,3608,Ab7_G0,36,935
ACTB,-53614,10000,0,3608,Ab7_G0,-53604,-52655
ACTC1,-11481,10000,0,5522,Ab2_G0,-11481,-10812
ACTC1,-11481,10000,0,5522,Ab4_G0,-1238,871
ACTC1,-11481,10000,0,5522,Ab4_G0,-1921,-1252
ACTC1,-11481,10000,0,5522,Ab6_G0,279,1238
ACTC1,-11481,10000,0,5522,Ab6_G0,-38,871
ACTC1,-11481,10000,0,5522,Ab7_G0,279,1238
ACTC1,-11481,10000,0,5522,Ab7_G0,-871,-12
ADAM19,-10000,91356,0,91356,Ab2_G0,66463,67222
ADAM19,-10000,91356,0,91356,Ab2_G0,8713,9572
ADAM19,-10000,91356,0,91356,Ab4_G0,17963,18572
ADAM19,-10000,91356,0,91356,Ab4_G0,66463,67222
ADAM19,-10000,91356,0,91356,Ab4_G0,-687,822
ADAM19,-10000,91356,0,91356,Ab6_G0,-227,1572
ADAM19,-10000,91356,0,91356,Ab6_G0,32563,33272
ADAM19,-10000,91356,0,91356,Ab6_G0,66463,67222
ADAM19,-10000,91356,0,91356,Ab7_G0,-227,1022
ADAM19,-10000,91356,0,91356,Ab7_G0,66463,67222
ADAM23,-25241,150611,0,150611,Ab2_G0,-21,788
ADAM23,-25241,150611,0,150611,Ab2_G0,-25241,-24462
ADAM23,-25241,150611,0,150611,Ab2_G0,7279,8088
ADAM23,-25241,150611,0,150611,Ab4_G0,-21,788
ADAM23,-25241,150611,0,150611,Ab4_G0,7229,8088
ADAM23,-25241,150611,0,150611,Ab6_G0,145729,146338
